id,nome,link,ativo,Atualizar,Motivo,Novo Link,Comentário Outros
209,FUNÇÕES SENO E CO-SENO,http://www.noas.com.br/ensino-medio/matematica/estatistica/financeira-sistema-price/,TRUE,Sim,Link trocado,Procurar novo link,
210,FUNÇÕES TRIGONOMÉTRICAS,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/radio/entregues/objeto_nas_ondas_do_radio/objeto2/mat1_ativ2.html,TRUE,Sim,Flash,,
211,GEOMETRIA DO TÁXI- CONTAGEM,http://m3.ime.unicamp.br/media/software/1222/,TRUE,Sim,M3 Unicamp,,
212,GEOMETRIA DO TÁXI- DISTÂNCIAS,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-espacial/geometria-espacial-metrica/,TRUE,Sim,Link trocado,Procurar novo link,
213,GEOMETRIA DO TÁXI- FORMAS GEOMÉTRICAS,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-espacial/geometria-metrica-e-espacial/,TRUE,Sim,Link trocado,Procurar novo link,
214,GEOMETRIA ESPACIAL MÉTRICA,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-plana/geometria-plana-medidas/,TRUE,Sim,Flash,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-espacial/geometria-espacial-metrica/,
215,GEOMETRIA MÉTRICA E ESPACIAL,http://m3.ime.unicamp.br/media/software/1229/,TRUE,Sim,M3 Unicamp,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-espacial/geometria-metrica-e-espacial/,
216,GEOMETRIA NO MEU QUARTO,http://m3.ime.unicamp.br/media/software/1231/,TRUE,Sim,M3 Unicamp,,
217,GEOMETRIA PLANA MEDIDAS,http://m3.ime.unicamp.br/media/software/1234/,TRUE,Sim,M3 Unicamp,,
218,GRAFICANDO,http://m3.ime.unicamp.br/media/software/1247/,TRUE,Sim,M3 Unicamp,http://www.projetos.unijui.edu.br/matematica/2010/graficando/,
219,GRÁFICOS E ESTATÍSTICOS: HISTOGRAMA,http://m3.ime.unicamp.br/media/software/1234/,TRUE,Sim,M3 Unicamp,,
220,GRÁFICOS ESTATÍSTICOS: BARRAS E SETORES,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/geometria_no_meu_quarto/geometria_no_meu_quarto/Objeto/index.html,TRUE,Sim,Flash,,
221,GRÁFICOS LINEARES,http://www.noas.com.br/ensino-medio/matematica/algebra/algebra-de-funcoes/graficos-lineares/,TRUE,Não,,,
222,GRAFOS E MATRIZES,http://www.projetos.unijui.edu.br/matematica/2010/graficando/,TRUE,Sim,Flash,,
223,INTRODUÇÃO A FRAÇÕES,http://www.projetos.unijui.edu.br/matematica/fabrica_virtual/enviado_agosto2007/introducao_a_%20arquitetura/index.html,TRUE,Sim,Flash,,
224,JANELAS EM ARCO FERRADURA,http://m3.ime.unicamp.br/media/software/1219/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1219/,
225,JANELAS EM ARCO ROMANO,http://m3.ime.unicamp.br/media/software/1220/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1220/,O OA foi unido com o 'JANELAS EM ARCO FERRADURA' em um só. Avaliar trocar nome do OA para = Janelas em Arcos Romano e Ferradura
226,JOGO DOS POLINÔMIOS,http://m3.ime.unicamp.br/media/software/1235/,TRUE,Sim,M3 Unicamp,,
227,LEI DOS COSSENOS,http://www.noas.com.br/ensino-medio/matematica/geometria/geometria-plana/lei-dos-cossenos/,TRUE,Sim,Flash,,
228,MATEMÁTICA COM SORVETES,http://m3.ime.unicamp.br/media/software/1232/,TRUE,Sim,M3 Unicamp,,
229,MEDIDAS DO CORPO: BOX PLOT,http://m3.ime.unicamp.br/media/software/1233/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1238/,
230,MEDIDAS DO CORPO: GRÁFICO DE DISPERSÃO,http://m3.ime.unicamp.br/media/software/1238/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1232/,
231,MEDIDAS DO CORPO: GRÁFICOS UNIVARIADOS,http://m3.ime.unicamp.br/media/software/1239/,TRUE,Sim,M3 Unicamp,https://m3.ime.unicamp.br/arquivos/software/1233/,
